\bus 15
\busstop Славинского дс
\day w
\from site		
05	05 23 40 55
06	09 22 35 49
07	03 17 30 43 57
08	11 25 40 59
09	19 40
10	00 20 40 57
11	14 31 48
12	05 22 39 56
13	13 30 47
14	05 24 41 55
15	08 22 35 49
16	03 16 30 43 57
17	11 24 38 51
18	05 20 38 59
19	21 45
20	09 33 57
21	20 43
22	06 29 52
23	15 40
00	05 27
\day h
\from site
05	06 40
06	06 19 34 48
07	01 14 28 42 56
08	09 22 37 56
09	17 38 57
10	16 37 53
11	09 24 38 51
12	05 18 32 46 59
13	13 26 40 54
14	08 24 38 52
15	06 19 32 46
16	00 14 27 40 54
17	08 22 35 48
18	02 16 35 56
19	16 35 53
20	16 38
21	01 24 46
22	09 32 54
23	17 40

\busstop Путепровод(Виталюр)
\day w
\from site
05	33 55
06	12 27 41 54
07	07 21 35 49
08	02 15 29 43 57
09	12 31 51
10	12 32 52
11	12 29 46
12	03 20 37 54
13	11 28 45
14	02 19 37 56
15	13 27 40 54
16	07 21 35 48
17	02 15 29 43 56
18	10 23 37 52
19	10 31 53
20	17 41
21	05 29 52
22	15 38
23	01 24 47
00	12 37 59
\day h
\from site
05	59
06	39
07	05 17 33 47
08	00 13 27 41 55
09	08 21 36 55
10	16 37 56
11	15 36 52
12	08 23 37 50
13	04 17 31 45 58
14	12 25 39 53
15	07 23 37 51
16	05 18 31 45 59
17	13 26 39 53
18	07 21 34 47
19	01 15 34 55
20	15 34 52
21	15 37
22	00 23 45
23	08 31 53
00	16 39
