\bus 55

\busstop Уручье-4
\days w
\from site
05	34 54
06	05 15 27 38 50
07	01 11 21 31 48 58
08	07 17 27 45 55
09	05 14 27 50
10	07 24 47
11	04 20 40
12	03 18 41 57
13	17 40 57
14	17 34 46 58
15	10 20 37 48 57
16	07 17 34 44 54
17	04 14 31 41 51
18	01 09 28 39 48 57
19	08 23 47
20	04 20 36 59
21	15 36 58
22	12 35 52
23	12 29 51
00	09

\days h
\from site
05	51
06	09 29 44 56
07	12 25 38 50
08	06 19 31 47
09	00 18 41 58
10	15 34 50
11	08 30 44
12	03 16 26 45 57
13	09 20 39 50
14	02 14 32 47
15	00 16 29 41 55
16	08 26 39 51
17	04 19 32 44 56
18	14 28 38 52
19	11 28 46
20	03 21 44
21	02 20 38 56
22	14 32 50
23	08 26 44
00	05

\derive Уручье 6(к Шаф.);Уручье-4;7;w h
\derive Метро Уручье(на 9-км);Уручье-4;13;w h
