\bus 121

\busstop ÍÏÎ "Öåíòð"(1)
\day w
05	15 25 35 43
06	04 18 30 43 55
07	07 18 30 43 55
08	07 17 28 38 49
09	00 14 28 43 57
10	13 27 40 53
11	04 17 29 40 52
12	03 18 33 48
13	01 17 31 46
14	00 11 21 32 43 54
15	04 15 25 35 45 53
16	02 15 27 39 51
17	03 16 28 40 51
18	03 20 36 53
19	10 32 52
20	10 31 49
21	09 27 47
22	07 25 43
23	02 20 39 58
00	17 50

\day h
05	27 48
06	02 22 37 44
07	07 22 36 50
08	05 20 34 47
09	08 26 44
10	02 20 35 46
11	01 16 27 39 50
12	01 13 25 37 49
13	00 14 30 46 59
14	12 24 36 48
15	00 12 24 35 47 59
16	11 23 34 45 57
17	09 21 32 43 55
18	13 32 52
19	10 29 48
20	07 26 45
21	04 24 43
22	02 22 41
23	00 20 39 58
00	22 34 52

\busstop ÍÏÎ "Öåíòð"(2)
\day w
05	32 44 53
06	08 24 39 54
07	06 18 30 41 53
08	06 18 30 40 51
09	01 13 24 35 49
10	04 18 34 47
11	01 14 25 38 50
12	02 13 26 40 55
13	09 23 38 52
14	07 21 32 42 53
15	04 15 25 38 48 58
16	08 16 26 38 50
17	02 14 26 39 51
18	03 14 26 43 57
19	14 32 53
20	13 31 52
21	10 30 48
22	08 28 46
23	04 23 41
00	01 16 33
01	06

\day h
05	45
06	06 23 43 58
07	13 28 43 57
08	11 26 41 55
09	08 29 47
10	05 23 41 56
11	07 22 37 48
12	00 11 22 34 46 58
13	10 21 35 51
14	07 20 33 45 57
15	09 21 33 45 56
16	08 20 32 44 55
17	06 18 30 42 53
18	04 16 34 53
19	13 31 50
20	09 28 47
21	06 25 45
22	04 23 43
23	02 21 41
00	00 19 37 49
01	07
