name;route
51;Уручье 4/Карбышева дс
113;ав Московский/Тубдиспансер
113а;ав Московский/НИИ Онкологии
113д;дс Карбышева/Зелёный Бор
515;дс Дружная/Тубдиспансер, экспр.
55;дс Уручье-2/дс Уручье-4
80;дс Карбышева/ул.Рогачевская
71;дс Уручье-2/ав Московский
99;дс Уручье-4/9-й км
15;дс Славинского/9-й км
86;дс Уручье-4/п.Озерище
155;дс Уручье-4/Озерище
